,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
0,RKT7xqPDy74,MrBeast 2,"I Asked Mark Cuban For $1,000,000",,,2023-10-22T17:00:00Z,13735868,990258,,3927,PT19S,hd,false
1,SHOV58tdNiI,MrBeast 2,Miranda Cosgrove Said What?,,,2023-10-15T17:00:00Z,57338629,3562307,,21805,PT15S,hd,false
2,SGzWIoLAzmY,MrBeast 2,"Feeding A Cat $10 Vs $10,000 Sushi",,,2023-08-31T17:00:00Z,145417200,7194440,,16227,PT31S,hd,false
3,sHX6pzhdCP0,MrBeast 2,"$30,000 Relay Race","Play Stumble Guys Now!:

https://stumbleguys.onelink.me/Zh4x/MrBeastYTShorts",,2023-08-13T17:20:26Z,6501124,471223,,2527,PT42S,hd,false
4,ykRq_rp7NhM,MrBeast 2,I Got Naruto to Subscribe to Me,,,2023-05-20T20:00:00Z,127882331,6737523,,15606,PT20S,hd,true
5,9fNNhWH-P2E,MrBeast 2,I Made An Egg Sandwich With @BayashiTV_,,,2023-05-13T17:00:00Z,139664313,7125079,,28585,PT41S,hd,false
6,on94ouT1TQI,MrBeast 2,"Solve this Mystery, Win a Lamborghini",,,2023-04-07T20:00:02Z,191879967,10242079,,18420,PT1M,hd,false
7,sHdOH5VTkCg,MrBeast 2,I Sent Karl To The Moon,lol no way,,2023-04-07T17:37:57Z,115563795,5525660,,28733,PT1M,hd,false
8,j3-38Dh-83w,MrBeast 2,Can You Solve This Mystery in Paris?,"Imagine trading dinner for a Mystery Date and ending up on the RED CARPET with Adam Sandler and Jennifer Aniston. Watch Murder Mystery 2 only on @Netflix March 31st!
netflix.com/murdermystery2",,2023-04-03T20:00:00Z,70780409,4263586,,5997,PT1M,hd,false
9,NPYPXWJBTWM,MrBeast 2,"$10,000 Girl Scout Cookies",,,2023-03-11T17:00:47Z,334334553,9837328,,14829,PT23S,hd,false
10,mRE0AXwFL3Y,MrBeast 2,Sigma x Beast,,,2023-03-01T21:00:18Z,30193620,1641596,,8931,PT13S,hd,false
11,wWoTXm9rBzo,MrBeast 2,$100 to Skydive,"SHOP FEASTABLES AT:

https://feastables.com/",,2023-02-03T21:00:20Z,129213431,7716363,,13364,PT44S,hd,false
12,9uNTBYDa8q8,MrBeast 2,I Met the Real MrBeast,I'm MrBest,,2023-01-18T21:00:09Z,88955271,3751735,,34012,PT8S,hd,false
13,tRqLAXTVoZw,MrBeast 2,Water Bottle Flip Challenge,water bottle flip challenge except with money,,2023-01-08T21:00:13Z,50904918,3091477,,5096,PT40S,hd,false
14,lbqfjEp_XWs,MrBeast 2,Will You Bring Me Back A Present From Santa?,I met the real Santa Claus!!!,,2023-01-05T21:00:30Z,63757863,3564757,,6968,PT44S,hd,false
15,0kQKIMMiObs,MrBeast 2,"$10,000 Last Man Standing Challenge","the floor is lava lol!

try the game now! https://bit.ly/MrBeastxDKO",,2022-12-14T23:39:50Z,12766383,746781,,3644,PT54S,hd,false
16,W3t7RWXRSLs,MrBeast 2,"$50,000 Rock, Paper, Scissors Tournament","I'm hosting a Rock, Paper, Scissors Tournament for $50,000

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

New Merch - https://mrbeast.store/

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Official Merch  - https://www.shopmrbeast.com/
•  I'm Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",,2022-12-11T20:27:49Z,6771188,232472,,6326,PT50M2S,hd,false
17,jnyGfof7Lvs,MrBeast 2,Spreading ❤️ in Paris!,Where should I go next?,,2022-12-01T16:41:05Z,123967299,5071793,,23180,PT34S,hd,false
18,_ljhBopSEVI,MrBeast 2,"I Opened 1,000 Packages","I'm opening the packages that you sent me!

#fromyoutubetoyou 

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

New Merch - https://mrbeast.store/

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Official Merch  - https://www.shopmrbeast.com/
•  I'm Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",,2022-11-18T18:37:11Z,7742602,248925,,8022,PT55M13S,hd,false
19,bl-bNgiy13Q,MrBeast 2,MrBeast 2 Live Stream,,,2022-11-18T16:26:06Z,0,48,,0,P0D,sd,false
20,lZIlFyzeZig,MrBeast 2,World's Most Expensive Burger!,,,2022-11-14T21:19:03Z,57185244,2795861,,4505,PT24S,hd,false
21,UPhxU9J46Qk,MrBeast 2,Where Chocolate REALLY Comes From,GO GET OUR NEW CHOCOLATE AT WALMART,,2022-09-17T20:00:06Z,81703045,3478914,,5533,PT25S,hd,false
22,Lr9O6b6jBlc,MrBeast 2,People Are Running To Walmart For This...,"EVERY SINGLE WALMART IN THE USA NOW SELLS FEASTABLES! Go try it! Also Text 69420 for future feastables updates :)


SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

New Merch - https://mrbeast.store/

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Official Merch  - https://www.shopmrbeast.com/
•  I'm Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",,2022-09-16T23:00:27Z,14875561,417658,,14353,PT3M22S,hd,false
23,Y-vLayu1NWs,MrBeast 2,"First Person Who Buys My Chocolate Wins $10,000",i hope his grandma likes our new cookies,,2022-09-16T21:30:04Z,88337375,4614531,,12267,PT31S,hd,false
24,57AoEm66EZM,MrBeast 2,"Giving Strangers $10,000 If They Watch My Money",i would've taken it lol,,2022-09-13T20:00:01Z,88971671,5147225,,12594,PT44S,hd,false
25,EniZMIlfqk0,MrBeast 2,Would You Buy This MrBeast Mystery Box?,sold an inexpensive mystery box with @JimmyDarts  :),,2022-09-10T20:00:07Z,47244262,3688789,,9308,PT45S,hd,false
26,5Qb-uKhSw4Y,MrBeast 2,"Would You Take $1000 Or Give $10,000?",so fun helping people with @JimmyDarts they were all so nice 🥺,,2022-09-03T20:00:02Z,33824202,2317175,,8626,PT56S,hd,false
27,Uov121gdBho,MrBeast 2,Does Size Matter?,lol it's so big,,2022-09-01T20:00:06Z,63526461,2363913,,7459,PT40S,hd,false
28,0nS_yE49vDI,MrBeast 2,World's Most Dangerous Fruit,i was thinking about risking it all,,2022-08-23T20:00:00Z,140001450,6437889,,11236,PT36S,hd,false
29,ieKAhG_gdCw,MrBeast 2,How To Work For MrBeast,"If you're interested in working with us, check out the links below to apply!

Senior Producer 
https://grnh.se/1aa1bc6d4us

Lead Content Strategist (Producer/Writer) 
https://grnh.se/e758ea404us

All other jobs can be viewed here! 
https://www.mrbeastjobs.com/

New Merch - https://mrbeast.store/

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com",,2022-08-18T20:57:04Z,10403608,555536,,17555,PT1M6S,hd,false
30,1Y1Kcfog3KU,MrBeast 2,I Made a Number One Hit Song,lol mom i made it,,2022-08-13T15:00:02Z,38593659,2228591,,6107,PT31S,hd,false
31,er5LLR2oCmg,MrBeast 2,100 Million Subscriber Livestream!,"SUBSCRIBE OR I TAKE YOUR DOG

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

New Merch - https://mrbeast.store/

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com

----------------------------------------------------------------
follow all of these or i will kick you
• TikTok - https://www.tiktok.com/@mrbeast
• Twitter - https://twitter.com/MrBeast
• Instagram - https://www.instagram.com/mrbeast
• Facebook - https://www.facebook.com/MrBeast6000/
• Official Merch  - https://www.shopmrbeast.com/
• Beast Philanthropy - https://www.beastphilanthropy.org/

Text me @ +1 (917) 259-6364
I'm Hiring! - https://www.mrbeastjobs.com/
Order a beast burger 🍔 -  https://mrbeastburger.com
Chocolate 🍫 Win a Tesla or be in a MrBeast video - Buy now ▸ https://feastables.com",,2022-07-28T21:23:28Z,15186971,848520,,44618,PT28M36S,hd,false
